order_id,date,hour,customer_id,customer_type,restaurant_id,order_channel,items_count,basket_value,promo_code,discount_amount,delivery_fee,delivery_time_min,order_status,payment_method,device_platform,rating
ORD045377,2025-05-24,22,CU10435,Repeat,RST119,Delivery,2,53.25,,19.58,5.0,51,Delivered,Apple Pay,iOS,3.6
ORD007583,2025-01-25,13,CU7230,Repeat,RST236,Pickup,5,209.59,WELCOME25,1.99,0.0,0,Delivered,Cash,Web,4.5
ORD020659,2025-03-07,13,CU10425,Repeat,RST245,Delivery,5,142.11,RAMADAN15,3.49,9.0,16,Delivered,Wallet,Web,4.7
ORD013003,2025-02-13,22,CU5045,Repeat,RST255,Delivery,2,68.89,FEAST20,6.6,9.0,37,Delivered,Apple Pay,iOS,4.2
ORD018626,2025-03-02,21,CU8201,Repeat,RST270,Pickup,3,116.17,,4.0,0.0,0,Delivered,Apple Pay,Web,4.8
ORD012316,2025-02-11,22,CU6694,New,RST267,Delivery,2,73.08,SUFRA10,5.75,9.0,38,Delivered,Wallet,Web,4.3
ORD041519,2025-05-11,20,CU7812,Repeat,RST234,Delivery,4,161.75,SUFRA10,10.33,12.0,27,Delivered,Cash,Web,4.6
ORD010849,2025-02-06,13,CU6817,Repeat,RST328,Dine-in,2,129.38,,0.8,0.0,0,Delivered,Cash,Android,3.9
ORD023698,2025-03-16,19,CU5960,New,RST216,Delivery,1,37.68,RAMADAN15,2.67,9.0,43,Delivered,Cash,iOS,4.8
ORD006918,2025-01-24,16,CU7818,Repeat,RST307,Delivery,1,39.5,WELCOME25,3.3,0.0,40,Delivered,Apple Pay,Web,3.9
ORD031934,2025-04-10,19,CU7131,New,RST249,Pickup,2,82.81,,1.68,0.0,0,Delivered,Card,iOS,5.0
ORD005754,2025-01-20,21,CU9640,New,RST208,Dine-in,2,9999.0,,2.13,0.0,0,Delivered,Wallet,iOS,4.5
ORD018818,2025-03-03,13,CU6535,New,RST187,Delivery,1,29.44,,1.13,5.0,49,Delivered,Cash,Web,3.7
ORD019480,2025-03-04,19,CU9366,Repeat,RST258,Pickup,2,99.06,RAMADAN15,7.42,0.0,0,Delivered,Apple Pay,Android,4.8
ORD017582,2025-02-27,22,CU10925,Repeat,RST170,Delivery,1,22.91,,0.18,12.0,38,Delivered,Wallet,Web,3.8
ORD038343,2025-05-01,22,CU8620,New,RST183,Delivery,1,52.88,,1.31,5.0,37,Delivered,Card,Web,3.8
ORD024904,2025-03-19,20,CU8285,Repeat,RST336,Dine-in,3,135.38,,3.5,0.0,0,Refunded,Apple Pay,iOS,
ORD024056,2025-03-17,13,CU9138,Repeat,RST215,Delivery,2,37.87,RAMADAN15,3.29,12.0,40,Delivered,Card,iOS,4.0
ORD040776,2025-05-08,11,CU7627,New,RST286,Delivery,2,136.78,,4.01,12.0,25,Delivered,Wallet,Android,4.2
ORD028503,2025-03-29,20,CU5669,New,RST205,Delivery,2,60.18,FEAST20,0.57,12.0,37,Delivered,Apple Pay,iOS,4.1
ORD045873,2025-05-25,11,CU10069,Repeat,RST311,Delivery,1,43.17,WELCOME25,2.42,5.0,52,Delivered,Card,Android,3.7
ORD017817,2025-02-28,13,CU10357,Repeat,RST192,Dine-in,5,109.89,,1.58,0.0,0,Delivered,Card,Web,5.0
ORD012171,2025-02-10,18,CU8053,Repeat,RST179,Dine-in,1,43.23,RAMADAN15,0.89,0.0,0,Delivered,Wallet,Android,4.1
ORD044907,2025-05-22,13,CU5673,New,RST268,Delivery,4,213.48,FEAST20,9.21,0.0,37,Delivered,Wallet,Android,4.5
ORD026311,2025-03-23,21,CU9057,Repeat,RST252,Dine-in,4,108.53,RAMADAN15,6.67,0.0,0,Delivered,Cash,Web,4.4
ORD029640,2025-04-02,13,CU6170,New,RST120,Dine-in,2,46.73,FEAST20,19.03,0.0,0,Delivered,Apple Pay,Android,4.6
ORD029423,2025-04-01,16,CU6267,Repeat,RST163,Delivery,2,95.72,,2.51,9.0,36,Delivered,Card,Android,4.2
ORD009861,2025-02-02,13,CU10452,New,RST319,Delivery,3,86.77,,0.47,0.0,25,Delivered,Card,Web,3.7
ORD017368,2025-02-27,13,CU8573,New,RST268,Delivery,2,67.84,,0.35,9.0,41,Delivered,Wallet,iOS,4.0
ORD043554,2025-05-18,12,CU5419,Repeat,RST152,Delivery,3,75.26,FEAST20,1.42,7.0,41,Delivered,Wallet,iOS,3.3
ORD026663,2025-03-24,13,CU8369,Repeat,RST163,Pickup,2,65.16,RAMADAN15,3.44,0.0,0,Delivered,Card,iOS,4.3
ORD014265,2025-02-17,22,CU7267,Repeat,RST248,Dine-in,4,172.69,WELCOME25,15.43,0.0,0,Delivered,Apple Pay,Web,4.5
ORD016085,2025-02-23,21,CU9570,Repeat,RST289,Dine-in,2,58.05,WELCOME25,2.91,0.0,0,Delivered,Card,iOS,4.9
ORD025380,2025-03-21,19,CU8688,Repeat,RST126,Dine-in,1,35.79,RAMADAN15,11.4,0.0,0,Delivered,Card,Web,4.0
ORD009264,2025-01-31,20,CU9026,New,RST234,Delivery,2,106.25,FEAST20,2.05,0.0,28,Delivered,Card,Android,4.5
ORD040470,2025-05-07,18,CU10853,New,RST128,Delivery,3,109.67,SUFRA10,48.47,7.0,60,Delivered,Card,Web,3.4
ORD000459,2025-01-02,22,CU10160,Repeat,RST273,Delivery,4,176.0,,1.27,5.0,38,Delivered,Card,Android,4.0
ORD046011,2025-05-26,19,CU9955,Repeat,RST138,Dine-in,3,132.78,FEAST20,50.94,0.0,0,Delivered,Cash,Android,4.2
ORD005782,2025-01-20,18,CU7067,New,RST215,Pickup,2,65.77,,1.02,0.0,0,Delivered,Card,Web,4.8
ORD020953,2025-03-08,20,CU7323,Repeat,RST227,Delivery,5,166.79,RAMADAN15,16.48,5.0,22,Refunded,Cash,iOS,
ORD036605,2025-04-25,16,CU9526,Repeat,RST105,Dine-in,4,273.87,WELCOME25,88.67,0.0,0,Delivered,Apple Pay,Web,4.0
ORD034256,2025-04-17,22,CU5540,Repeat,RST223,Delivery,2,65.77,,0.93,7.0,20,Delivered,Apple Pay,iOS,4.6
ORD011561,2025-02-08,22,CU7320,Repeat,RST315,Delivery,2,105.25,WELCOME25,0.0,9.0,36,Delivered,Cash,Web,3.6
ORD039685,2025-05-05,13,CU6781,Repeat,RST220,Delivery,2,101.32,,2.3,12.0,30,Delivered,Card,Web,4.4
ORD044191,2025-05-20,13,CU7603,New,RST224,Delivery,2,51.7,WELCOME25,0.16,5.0,37,Delivered,Wallet,Web,3.9
ORD044879,2025-05-22,14,CU10175,Repeat,RST270,Delivery,2,68.05,,0.12,9.0,43,Delivered,Apple Pay,Android,4.7
ORD046192,2025-05-26,20,CU9314,Repeat,RST124,Delivery,3,98.61,RAMADAN15,33.84,12.0,41,Delivered,Card,Web,4.1
ORD030042,2025-04-03,11,CU6532,Repeat,RST267,Delivery,2,63.13,,0.69,5.0,26,Delivered,Wallet,iOS,3.9
ORD008859,2025-01-30,22,CU10864,New,RST195,Delivery,2,38.83,WELCOME25,0.2,12.0,33,Delivered,Apple Pay,iOS,3.9
ORD008354,2025-01-28,16,CU9604,Repeat,RST319,Delivery,4,188.44,,5.67,5.0,23,Delivered,Apple Pay,Web,4.0
ORD024319,2025-03-18,21,CU8340,New,RST166,Delivery,3,225.22,,3.67,12.0,40,Delivered,Apple Pay,iOS,4.5
ORD034125,2025-04-17,11,CU9063,Repeat,RST157,Delivery,1,31.13,,0.09,7.0,30,Delivered,Card,Android,3.9
ORD036888,2025-04-26,12,CU5521,Repeat,RST273,Delivery,4,164.23,,1.99,5.0,44,Delivered,Cash,Web,4.2
ORD032120,2025-04-10,20,CU8383,Repeat,RST157,Delivery,2,60.07,RAMADAN15,0.71,5.0,23,Delivered,Apple Pay,iOS,4.7
ORD018949,2025-03-03,20,CU8692,Repeat,RST148,Dine-in,2,66.84,,0.66,0.0,0,Delivered,Apple Pay,Web,4.3
ORD012006,2025-02-10,14,CU10812,Repeat,RST240,Delivery,1,36.59,RAMADAN15,3.59,9.0,24,Delivered,Apple Pay,iOS,4.7
ORD008466,2025-01-29,21,CU8278,Repeat,RST232,Dine-in,2,47.66,,1.46,0.0,0,Delivered,Cash,Web,4.3
ORD038906,2025-05-02,20,CU9043,New,RST125,Pickup,3,110.21,,39.33,0.0,0,Refunded,Card,Web,
ORD022988,2025-03-14,20,CU7756,New,RST104,Delivery,1,46.22,,17.96,7.0,50,Delivered,Cash,iOS,4.0
ORD004575,2025-01-16,13,CU9938,New,RST258,Delivery,2,81.13,RAMADAN15,2.93,0.0,37,Delivered,Wallet,iOS,4.4
ORD041262,2025-05-10,18,CU8293,Repeat,RST151,Delivery,3,171.57,,0.34,12.0,44,Delivered,Card,Web,4.5
ORD038652,2025-05-01,21,CU6521,New,RST179,Dine-in,4,191.86,WELCOME25,0.85,0.0,0,Delivered,Cash,Web,5.0
ORD039794,2025-05-05,13,CU8644,Repeat,RST183,Delivery,3,161.38,WELCOME25,1.83,7.0,29,Delivered,Apple Pay,Web,4.2
ORD028404,2025-03-29,21,CU10106,Repeat,RST331,Delivery,1,49.52,RAMADAN15,2.06,12.0,39,Cancelled,Wallet,iOS,
ORD009274,2025-02-01,13,CU5615,Repeat,RST151,Dine-in,2,128.65,WELCOME25,11.83,0.0,0,Delivered,Cash,Web,4.7
ORD038148,2025-04-30,18,CU8610,New,RST257,Pickup,3,96.88,,3.01,0.0,0,Delivered,Card,Android,4.7
ORD022483,2025-03-12,18,CU7500,Repeat,RST305,Delivery,1,36.98,WELCOME25,3.58,5.0,39,Delivered,Wallet,Web,4.4
ORD010134,2025-02-03,22,CU7115,New,RST117,Delivery,2,105.13,WELCOME25,45.05,0.0,58,Cancelled,Wallet,iOS,
ORD025215,2025-03-20,21,CU9078,New,RST122,Delivery,5,172.44,RAMADAN15,65.52,5.0,45,Delivered,Card,Web,4.5
ORD009497,2025-02-01,16,CU8407,Repeat,RST320,Dine-in,2,149.98,FEAST20,7.87,0.0,0,Delivered,Wallet,Web,4.7
ORD000975,2025-01-04,21,CU9099,Repeat,RST123,Delivery,1,64.27,WELCOME25,20.49,0.0,44,Delivered,Card,Web,4.2
ORD019893,2025-03-06,18,CU9943,Repeat,RST125,Dine-in,2,64.43,,22.39,0.0,0,Delivered,Cash,Android,4.5
ORD042963,2025-05-16,12,CU7019,New,RST253,Pickup,5,209.59,RAMADAN15,7.34,0.0,0,Delivered,Wallet,Web,4.4
ORD032964,2025-04-13,12,CU10827,Repeat,RST225,Dine-in,2,130.78,FEAST20,0.38,0.0,0,Delivered,Cash,iOS,4.3
ORD039836,2025-05-05,13,CU6988,Repeat,RST158,Dine-in,2,75.26,FEAST20,5.03,0.0,0,Delivered,Wallet,iOS,5.0
ORD024116,2025-03-17,19,CU8036,Repeat,RST150,Delivery,5,145.34,FEAST20,1.9,9.0,57,Refunded,Card,iOS,
ORD040747,2025-05-08,19,CU10833,New,RST302,Delivery,2,73.41,,2.65,5.0,50,Delivered,Cash,Web,3.3
ORD031666,2025-04-09,12,CU10143,Repeat,RST286,Delivery,3,177.04,FEAST20,10.47,9.0,12,Delivered,Cash,Web,4.3
ORD036961,2025-04-26,20,CU6995,Repeat,RST141,Delivery,5,122.62,,40.9,7.0,65,Cancelled,Card,iOS,
ORD046023,2025-05-26,13,CU10776,Repeat,RST224,Pickup,2,40.46,FEAST20,2.51,0.0,0,Delivered,Wallet,iOS,4.5
ORD009960,2025-02-03,20,CU8317,Repeat,RST147,Delivery,3,67.56,,27.11,0.0,41,Delivered,Cash,iOS,4.2
ORD028037,2025-03-28,18,CU7091,New,RST119,Delivery,4,147.85,RAMADAN15,62.36,0.0,58,Delivered,Apple Pay,iOS,4.3
ORD012008,2025-02-10,13,CU9606,Repeat,RST314,Delivery,2,84.36,RAMADAN15,5.81,9.0,41,Delivered,Wallet,iOS,4.0
ORD026712,2025-03-24,19,CU6816,New,RST126,Dine-in,1,30.83,,13.27,0.0,0,Cancelled,Cash,iOS,
ORD011569,2025-02-08,20,CU7038,Repeat,RST234,Dine-in,3,123.23,RAMADAN15,11.38,0.0,0,Delivered,Card,Android,4.3
ORD002905,2025-01-10,19,CU9109,Repeat,RST269,Dine-in,1,25.95,,0.28,0.0,0,Delivered,Cash,Web,4.7
ORD033437,2025-04-14,12,CU5796,Repeat,RST246,Pickup,2,74.15,,0.98,0.0,0,Delivered,Wallet,Android,4.9
ORD036446,2025-04-24,12,CU9337,New,RST148,Delivery,2,96.61,,2.83,12.0,47,Delivered,Apple Pay,iOS,4.3
ORD015857,2025-02-22,13,CU9423,Repeat,RST291,Dine-in,2,60.74,,0.56,0.0,0,Delivered,Wallet,iOS,4.4
ORD041785,2025-05-12,19,CU6994,Repeat,RST318,Delivery,3,102.64,,1.54,5.0,33,Refunded,Wallet,iOS,
ORD018390,2025-03-02,19,CU5323,Repeat,RST126,Dine-in,5,154.63,WELCOME25,61.68,0.0,0,Delivered,Card,iOS,4.3
ORD003398,2025-01-12,16,CU6964,New,RST238,Delivery,3,94.62,RAMADAN15,5.05,0.0,32,Delivered,Apple Pay,Web,4.1
ORD010171,2025-02-03,21,CU8253,Repeat,RST195,Delivery,3,94.55,,0.18,5.0,24,Delivered,Cash,Web,4.9
ORD013362,2025-02-14,16,CU7667,New,RST110,Delivery,1,51.82,,22.23,5.0,50,Delivered,Wallet,Web,3.7
ORD001001,2025-01-04,12,CU5545,Repeat,RST243,Pickup,3,83.26,SUFRA10,6.45,0.0,0,Delivered,Cash,Android,4.6
ORD037855,2025-04-29,19,CU10946,Repeat,RST130,Pickup,1,34.63,RAMADAN15,10.47,0.0,0,Delivered,Apple Pay,iOS,4.2
ORD024420,2025-03-18,18,CU6053,Repeat,RST319,Delivery,3,139.79,RAMADAN15,5.52,12.0,26,Refunded,Cash,Android,
ORD023160,2025-03-14,19,CU7257,New,RST328,Delivery,3,143.56,,4.98,9.0,54,Delivered,Apple Pay,Web,4.6
ORD011350,2025-02-07,22,CU9339,New,RST144,Delivery,3,102.61,,42.12,7.0,59,Delivered,Cash,iOS,3.9
ORD009778,2025-02-02,13,CU8422,Repeat,RST230,Delivery,4,152.33,RAMADAN15,9.02,5.0,23,Delivered,Wallet,Android,4.7
ORD006375,2025-01-22,13,CU10225,New,RST143,Pickup,1,62.25,SUFRA10,20.44,0.0,0,Delivered,Wallet,iOS,4.7
ORD015904,2025-02-22,20,CU10138,Repeat,RST294,Delivery,2,86.85,,0.32,12.0,19,Delivered,Apple Pay,iOS,4.0
ORD036522,2025-04-24,12,CU6541,Repeat,RST221,Delivery,2,100.8,WELCOME25,0.48,7.0,27,Delivered,Card,Android,4.3
ORD024371,2025-03-18,21,CU6979,New,RST109,Delivery,4,99.45,SUFRA10,33.64,5.0,43,Delivered,Cash,iOS,4.4
ORD012601,2025-02-12,12,CU9470,Repeat,RST203,Delivery,3,116.56,,2.09,5.0,27,Delivered,Cash,Web,4.4
ORD034683,2025-04-19,19,CU9017,New,RST188,Delivery,2,64.39,WELCOME25,6.26,5.0,33,Cancelled,Wallet,Web,
ORD037603,2025-04-28,14,CU7631,Repeat,RST324,Delivery,5,132.85,RAMADAN15,7.06,7.0,43,Delivered,Apple Pay,Android,3.5
ORD022105,2025-03-11,19,CU8794,Repeat,RST267,Delivery,1,49.47,SUFRA10,2.01,0.0,39,Delivered,Apple Pay,Web,3.7
ORD010041,2025-02-03,20,CU8260,Repeat,RST218,Delivery,3,100.26,,0.82,0.0,32,Delivered,Card,Android,3.8
ORD015415,2025-02-20,11,CU5802,Repeat,RST126,Pickup,2,60.78,,22.97,0.0,0,Delivered,Cash,Android,4.6
ORD042387,2025-05-14,16,CU6176,Repeat,RST203,Delivery,2,138.76,,2.37,12.0,22,Delivered,Card,Web,4.2
ORD023506,2025-03-15,20,CU7248,Repeat,RST220,Delivery,1,35.6,FEAST20,1.06,12.0,33,Delivered,Cash,iOS,4.0
ORD008731,2025-01-30,13,CU7958,Repeat,RST125,Dine-in,1,32.38,RAMADAN15,10.64,0.0,0,Delivered,Apple Pay,Web,4.4
ORD041753,2025-05-12,13,CU5616,Repeat,RST267,Delivery,3,146.12,RAMADAN15,1.51,9.0,44,Delivered,Apple Pay,Web,4.1
ORD003929,2025-01-14,11,CU9532,Repeat,RST201,Delivery,2,60.07,,1.26,0.0,22,Delivered,Cash,Web,4.3
ORD025178,2025-03-20,19,CU8115,Repeat,RST251,Delivery,2,57.59,,2.09,5.0,30,Delivered,Cash,Web,3.7
ORD047399,2025-05-31,19,CU8692,Repeat,RST159,Dine-in,4,116.16,SUFRA10,5.49,0.0,0,Delivered,Wallet,Android,4.4
ORD039046,2025-05-03,13,CU6360,New,RST183,Delivery,4,231.48,SUFRA10,8.33,9.0,38,Delivered,Apple Pay,iOS,4.2
ORD002353,2025-01-09,18,CU10041,New,RST267,Delivery,3,148.98,,2.49,12.0,38,Delivered,Cash,Web,3.9
ORD047619,2025-05-31,22,CU7868,Repeat,RST284,Delivery,3,119.04,FEAST20,5.19,0.0,38,Delivered,Cash,Android,4.3
ORD036969,2025-04-26,20,CU8549,Repeat,RST133,Pickup,2,67.45,,29.49,0.0,0,Delivered,Card,Web,4.1
ORD024575,2025-03-18,21,CU9497,Repeat,RST132,Delivery,4,134.98,SUFRA10,59.45,12.0,53,Delivered,Cash,Web,3.7
ORD043776,2025-05-18,12,CU6768,New,RST156,Delivery,5,197.38,,0.94,0.0,44,Delivered,Cash,iOS,4.4
ORD032619,2025-04-12,18,CU6789,Repeat,RST221,Delivery,2,84.44,FEAST20,5.74,9.0,27,Delivered,Wallet,Android,4.4
ORD038210,2025-04-30,20,CU5062,Repeat,RST156,Dine-in,4,109.91,SUFRA10,1.97,0.0,0,Delivered,Wallet,iOS,4.0
ORD046702,2025-05-28,13,CU9127,Repeat,RST127,Dine-in,2,40.77,WELCOME25,14.39,0.0,0,Delivered,Cash,iOS,4.3
ORD007637,2025-01-26,13,CU7265,New,RST222,Delivery,4,245.66,SUFRA10,15.38,9.0,13,Delivered,Cash,Android,5.0
ORD013207,2025-02-13,18,CU9064,New,RST126,Delivery,3,154.31,WELCOME25,57.15,7.0,49,Delivered,Cash,Android,4.2
ORD032832,2025-04-12,13,CU6552,Repeat,RST135,Dine-in,2,50.42,SUFRA10,17.25,0.0,0,Cancelled,Card,Android,
ORD000935,2025-01-04,12,CU10090,New,RST181,Pickup,1,46.51,,1.84,0.0,0,Delivered,Wallet,Web,4.3
ORD004804,2025-01-17,19,CU7056,Repeat,RST133,Dine-in,2,75.01,,23.44,0.0,0,Delivered,Wallet,Web,4.0
ORD009225,2025-01-31,21,CU6913,Repeat,RST105,Delivery,2,110.3,,37.03,5.0,48,Delivered,Card,Android,3.8
ORD043487,2025-05-17,22,CU9044,New,RST285,Dine-in,5,183.89,,3.04,0.0,0,Delivered,Apple Pay,iOS,4.1
ORD030073,2025-04-03,22,CU8088,Repeat,RST190,Delivery,1,52.0,,1.74,7.0,29,Delivered,Apple Pay,Android,4.0
ORD003237,2025-01-12,13,CU9059,Repeat,RST261,Delivery,1,46.23,,0.5,9.0,20,Delivered,Wallet,Android,4.3
ORD013671,2025-02-15,20,CU7623,Repeat,RST301,Delivery,3,126.6,,3.11,12.0,18,Cancelled,Cash,Android,
ORD019631,2025-03-05,18,CU7328,Repeat,RST154,Dine-in,2,102.22,WELCOME25,4.41,0.0,0,Delivered,Cash,iOS,5.0
ORD019340,2025-03-04,18,CU6150,Repeat,RST229,Dine-in,3,99.77,RAMADAN15,7.61,0.0,0,Delivered,Card,Web,4.4
ORD024327,2025-03-18,13,CU5870,New,RST277,Delivery,3,58.05,SUFRA10,1.07,5.0,20,Delivered,Wallet,Android,4.5
ORD010037,2025-02-03,13,CU7913,Repeat,RST312,Dine-in,1,30.25,RAMADAN15,0.87,0.0,0,Delivered,Cash,iOS,4.9
ORD001553,2025-01-06,13,CU8201,Repeat,RST257,Delivery,3,170.6,FEAST20,13.05,9.0,32,Cancelled,Wallet,Web,
ORD007557,2025-01-25,22,CU8708,New,RST300,Delivery,3,95.98,,3.84,0.0,48,Delivered,Apple Pay,Web,3.7
ORD008079,2025-01-27,18,CU7950,Repeat,RST324,Pickup,1,43.95,,0.44,0.0,0,Delivered,Wallet,iOS,4.5
ORD007487,2025-01-25,20,CU7040,Repeat,RST249,Delivery,1,31.18,RAMADAN15,1.85,0.0,27,Delivered,Wallet,Android,4.8
ORD040471,2025-05-07,16,CU8936,New,RST259,Delivery,3,155.18,RAMADAN15,11.82,12.0,32,Delivered,Apple Pay,Android,4.3
ORD003009,2025-01-11,18,CU7856,New,RST148,Dine-in,2,99.59,RAMADAN15,9.11,0.0,0,Delivered,Card,Web,3.9
ORD028242,2025-03-28,20,CU9433,New,RST302,Dine-in,2,86.66,RAMADAN15,8.56,0.0,0,Delivered,Card,Web,4.9
ORD013513,2025-02-14,14,CU7605,Repeat,RST331,Delivery,3,125.33,,3.4,0.0,38,Refunded,Cash,Android,
ORD007149,2025-01-24,16,CU8919,Repeat,RST253,Delivery,2,83.55,,3.0,0.0,34,Delivered,Cash,Web,4.6
ORD045600,2025-05-24,12,CU5708,Repeat,RST127,Dine-in,1,31.32,,9.59,0.0,0,Delivered,Cash,iOS,4.6
ORD025955,2025-03-22,21,CU10360,New,RST181,Dine-in,5,249.45,,1.27,0.0,0,Delivered,Wallet,iOS,4.4
ORD028053,2025-03-28,20,CU7802,New,RST301,Delivery,3,93.35,,2.58,7.0,19,Delivered,Card,Web,4.5
ORD002035,2025-01-08,12,CU5655,New,RST217,Delivery,1,33.71,WELCOME25,1.9,7.0,29,Delivered,Cash,iOS,4.0
ORD035943,2025-04-22,20,CU7003,New,RST122,Dine-in,2,51.38,WELCOME25,15.58,0.0,0,Delivered,Card,Web,4.5
ORD019049,2025-03-03,21,CU7791,New,RST318,Delivery,2,111.19,RAMADAN15,7.28,7.0,21,Delivered,Apple Pay,Web,5.0
ORD043648,2025-05-18,18,CU5762,Repeat,RST160,Pickup,3,114.13,RAMADAN15,7.19,0.0,0,Delivered,Cash,Android,4.5
ORD038698,2025-05-01,19,CU5592,New,RST122,Pickup,2,84.14,,33.89,0.0,0,Delivered,Card,iOS,4.8
ORD004033,2025-01-14,18,CU10088,Repeat,RST110,Pickup,4,127.77,WELCOME25,47.98,0.0,0,Delivered,Wallet,Web,4.0
ORD000342,2025-01-02,21,CU7802,Repeat,RST100,Delivery,3,133.95,,50.97,0.0,46,Delivered,Wallet,Android,4.7
ORD044845,2025-05-22,20,CU5846,Repeat,RST325,Pickup,2,139.19,,5.19,0.0,0,Delivered,Apple Pay,Android,4.6
ORD023625,2025-03-16,13,CU7244,Repeat,RST281,Dine-in,1,72.12,RAMADAN15,0.59,0.0,0,Delivered,Card,iOS,4.0
ORD003559,2025-01-13,22,CU9085,Repeat,RST121,Delivery,3,81.72,,29.53,12.0,55,Delivered,Apple Pay,Web,3.5
ORD044055,2025-05-19,20,CU10956,Repeat,RST191,Pickup,1,39.51,FEAST20,3.25,0.0,0,Delivered,Wallet,Android,4.3
ORD012005,2025-02-10,19,CU9301,Repeat,RST308,Delivery,4,179.78,RAMADAN15,16.16,7.0,26,Delivered,Card,Web,4.3
ORD013263,2025-02-13,14,CU6629,Repeat,RST133,Delivery,2,68.67,FEAST20,25.94,5.0,50,Delivered,Wallet,Web,3.8
ORD001522,2025-01-06,22,CU9137,Repeat,RST125,Delivery,2,54.48,,16.56,0.0,49,Delivered,Card,Android,4.2
ORD021925,2025-03-11,13,CU7498,Repeat,RST307,Delivery,3,155.44,RAMADAN15,1.56,0.0,36,Delivered,Wallet,Android,4.2
ORD047161,2025-05-30,13,CU10476,Repeat,RST241,Dine-in,1,44.31,,1.52,0.0,0,Delivered,Cash,iOS,4.6
ORD030377,2025-04-04,19,CU9898,New,RST121,Delivery,2,69.03,,30.35,7.0,57,Delivered,Cash,Web,3.5
ORD010157,2025-02-03,13,CU5405,Repeat,RST292,Delivery,2,128.86,,4.95,9.0,42,Delivered,Wallet,Android,4.0
ORD039944,2025-05-05,16,CU8522,New,RST134,Dine-in,2,73.88,WELCOME25,28.44,0.0,0,Delivered,Apple Pay,Web,4.1
ORD030034,2025-04-03,13,CU7686,Repeat,RST228,Delivery,2,68.35,,1.16,7.0,30,Refunded,Apple Pay,Android,
ORD007838,2025-01-26,18,CU8334,New,RST300,Dine-in,1,37.44,,0.35,0.0,0,Delivered,Cash,Web,4.2
ORD001846,2025-01-07,11,CU5738,Repeat,RST279,Delivery,1,69.03,FEAST20,5.4,9.0,34,Delivered,Cash,Android,4.5
ORD025981,2025-03-22,13,CU5681,Repeat,RST188,Delivery,4,115.05,FEAST20,1.73,0.0,29,Delivered,Cash,Web,4.9
ORD025946,2025-03-22,19,CU6667,Repeat,RST139,Dine-in,5,194.22,FEAST20,75.8,0.0,0,Cancelled,Cash,Web,
